station_id,station,year,cool_mm,mjj_mm,baseline_mm,cool_anom_mm,cool_anom_pct
ASN00009518,Cape Leeuwin,1950,833.9,520.0,896.672,-62.77200000000005,-7.000553156561155
ASN00009518,Cape Leeuwin,1951,836.1999999999999,447.79999999999995,896.672,-60.472000000000094,-6.744049106027633
ASN00009518,Cape Leeuwin,1952,852.5999999999999,569.3,896.672,-44.072000000000116,-4.915063702223345
ASN00009518,Cape Leeuwin,1953,878.9,562.4,896.672,-17.772000000000048,-1.9819956461225563
ASN00009518,Cape Leeuwin,1954,755.9999999999999,437.8,896.672,-140.67200000000014,-15.68823382463154
ASN00009518,Cape Leeuwin,1955,1235.5,491.29999999999995,896.672,338.828,37.78728453659755
ASN00009518,Cape Leeuwin,1956,798.7,597.8000000000001,896.672,-97.97199999999998,-10.926180364726452
ASN00009518,Cape Leeuwin,1957,925.8000000000001,600.8,896.672,29.128000000000043,3.248456514756794
ASN00009518,Cape Leeuwin,1958,773.0,503.0,896.672,-123.67200000000003,-13.792334320688058
ASN00009518,Cape Leeuwin,1959,682.9,362.30000000000007,896.672,-213.77200000000005,-23.840601691588457
ASN00009518,Cape Leeuwin,1960,768.4999999999999,515.9000000000001,896.672,-128.17200000000014,-14.29419007173193
ASN00009518,Cape Leeuwin,1961,987.9,535.2,896.672,91.22799999999995,10.174065879162052
ASN00009518,Cape Leeuwin,1962,815.4999999999999,415.0,896.672,-81.17200000000014,-9.052585560829392
ASN00009518,Cape Leeuwin,1963,1118.6,703.1,896.672,221.92799999999988,24.750187359480375
ASN00009518,Cape Leeuwin,1964,1040.5000000000002,584.3,896.672,143.8280000000002,16.04020199136364
ASN00009518,Cape Leeuwin,1965,890.5,437.29999999999995,896.672,-6.1720000000000255,-0.6883230434317148
ASN00009518,Cape Leeuwin,1966,808.5999999999999,473.69999999999993,896.672,-88.07200000000012,-9.822097712429976
ASN00009518,Cape Leeuwin,1967,1169.8,788.5999999999999,896.672,273.12799999999993,30.460190571357188
ASN00009518,Cape Leeuwin,1968,939.6999999999999,482.09999999999997,896.672,43.027999999999906,4.798633167981146
ASN00009518,Cape Leeuwin,1969,691.9,411.79999999999995,896.672,-204.77200000000005,-22.836890189500735
ASN00009518,Cape Leeuwin,1970,939.6999999999999,569.5,896.672,43.027999999999906,4.798633167981146
ASN00009518,Cape Leeuwin,1971,783.5999999999999,382.69999999999993,896.672,-113.07200000000012,-12.610185218229198
ASN00009518,Cape Leeuwin,1972,787.8,349.70000000000005,896.672,-108.87200000000007,-12.141786517254925
ASN00009518,Cape Leeuwin,1973,1143.8,582.1999999999999,896.672,247.12799999999993,27.560579565325995
ASN00009518,Cape Leeuwin,1974,956.9000000000001,618.1000000000001,896.672,60.228000000000065,6.716837371971029
ASN00009518,Cape Leeuwin,1975,881.0,585.5,896.672,-15.672000000000025,-1.7477962956354192
ASN00009518,Cape Leeuwin,1976,777.7,383.7,896.672,-118.97199999999998,-13.268173869597797
ASN00009518,Cape Leeuwin,1977,890.1999999999999,460.79999999999995,896.672,-6.472000000000094,-0.721780093501313
ASN00009518,Cape Leeuwin,1978,1062.1,685.1000000000001,896.672,165.42799999999988,18.449109596374136
ASN00009518,Cape Leeuwin,1979,853.1,479.0,896.672,-43.572,-4.859301952107349
ASN00009518,Cape Leeuwin,1980,888.5999999999999,473.4,896.672,-8.072000000000116,-0.9002176938724658
ASN00009518,Cape Leeuwin,1981,883.5,537.0999999999999,896.672,-13.172000000000025,-1.468987545055497
ASN00009518,Cape Leeuwin,1982,810.1999999999998,551.9999999999999,896.672,-86.47200000000021,-9.643660112058836
ASN00009518,Cape Leeuwin,1983,1294.6,765.0,896.672,397.9279999999999,44.3783234003069
ASN00009518,Cape Leeuwin,1984,861.2,534.0,896.672,-35.47199999999998,-3.955961600228398
ASN00009518,Cape Leeuwin,1985,680.2,327.8,896.672,-216.47199999999998,-24.141715142214764
ASN00009518,Cape Leeuwin,1986,865.6,515.4,896.672,-31.072000000000003,-3.4652581992077374
ASN00009518,Cape Leeuwin,1987,700.6,448.8,896.672,-196.072,-21.866635737482603
ASN00009518,Cape Leeuwin,1988,1092.4000000000003,681.6000000000001,896.672,195.7280000000003,21.828271653402837
ASN00009518,Cape Leeuwin,1989,813.4000000000001,372.0,896.672,-83.27199999999993,-9.286784911316506
ASN00009518,Cape Leeuwin,1990,950.3999999999997,497.9999999999999,896.672,53.727999999999724,5.9919346204631925
ASN00009518,Cape Leeuwin,1991,963.6,640.0,896.672,66.928,7.464044823525212
ASN00009518,Cape Leeuwin,1992,970.6,595.0,896.672,73.928,8.244709325148994
ASN00009518,Cape Leeuwin,1993,797.8,404.79999999999995,896.672,-98.87200000000007,-11.026551514935235
ASN00009518,Cape Leeuwin,1994,809.8000000000001,466.6,896.672,-86.87199999999996,-9.688269512151596
ASN00009518,Cape Leeuwin,1995,759.4000000000001,493.4000000000001,896.672,-137.27199999999993,-15.309053923842825
ASN00009518,Cape Leeuwin,1996,919.6,580.3999999999999,896.672,22.927999999999997,2.5570108133185823
ASN00009518,Cape Leeuwin,1997,808.6000000000001,501.80000000000007,896.672,-88.07199999999989,-9.822097712429951
ASN00009518,Cape Leeuwin,1998,818.2,423.8,896.672,-78.47199999999998,-8.751472110203059
ASN00009518,Cape Leeuwin,1999,931.2,572.0,896.672,34.52800000000002,3.8506834160094234
ASN00009518,Cape Leeuwin,2000,710.4,436.79999999999995,896.672,-186.27200000000005,-20.773705435209312
ASN00009518,Cape Leeuwin,2001,464.0,229.8,896.672,-432.672,-48.253095892366446
ASN00009518,Cape Leeuwin,2002,605.4000000000001,297.20000000000005,896.672,-291.27199999999993,-32.48367295956603
ASN00009518,Cape Leeuwin,2003,661.8,379.6,896.672,-234.87200000000007,-26.193747546483003
ASN00009518,Cape Leeuwin,2004,539.0,375.8,896.672,-357.672,-39.888833374968776
ASN00009518,Cape Leeuwin,2005,623.4,283.6,896.672,-273.27200000000005,-30.476249955390603
ASN00009518,Cape Leeuwin,2006,578.1999999999999,322.8,896.672,-318.4720000000001,-35.5171121658756
ASN00009518,Cape Leeuwin,2007,561.4000000000001,257.0,896.672,-335.27199999999993,-37.390706969772666
ASN00009518,Cape Leeuwin,2008,754.0,468.6,896.672,-142.67200000000003,-15.911280825095467
ASN00009518,Cape Leeuwin,2009,642.0,415.19999999999993,896.672,-254.67200000000003,-28.401912851075984
ASN00009518,Cape Leeuwin,2010,553.8,314.4,896.672,-342.87200000000007,-38.238285571535634
ASN00009518,Cape Leeuwin,2011,721.6000000000001,352.0,896.672,-175.0719999999999,-19.524642232611242
ASN00009518,Cape Leeuwin,2012,695.8,430.19999999999993,896.672,-200.87200000000007,-22.401948538596063
ASN00009518,Cape Leeuwin,2013,918.4,548.5999999999999,896.672,21.727999999999952,2.4231826130402143
ASN00009518,Cape Leeuwin,2014,619.8,389.6,896.672,-276.87200000000007,-30.877734556225697
ASN00009518,Cape Leeuwin,2015,572.0,318.40000000000003,896.672,-324.672,-36.20855786731381
ASN00009518,Cape Leeuwin,2016,742.1999999999999,399.20000000000005,896.672,-154.4720000000001,-17.22725812783271
ASN00009518,Cape Leeuwin,2017,718.2,421.8,896.672,-178.47199999999998,-19.903822133399945
ASN00009518,Cape Leeuwin,2018,636.8000000000001,372.80000000000007,896.672,-259.87199999999996,-28.981835052282214
ASN00009518,Cape Leeuwin,2019,,335.8,896.672,,
ASN00009518,Cape Leeuwin,2020,554.2,331.40000000000003,896.672,-342.472,-38.193676171442846
ASN00009518,Cape Leeuwin,2021,804.4000000000001,489.0,896.672,-92.27199999999993,-10.290496413404226
ASN00009518,Cape Leeuwin,2022,,,896.672,,
ASN00009518,Cape Leeuwin,2023,560.1999999999999,306.4,896.672,-336.4720000000001,-37.524535170051045
ASN00009518,Cape Leeuwin,2024,701.4,384.20000000000005,896.672,-195.27200000000005,-21.77741693729703
ASN00009530,Deeside,1950,669.7,436.59999999999997,697.94,-28.24000000000001,-4.046193082499929
ASN00009530,Deeside,1951,624.1999999999999,276.0999999999999,697.94,-73.74000000000012,-10.565378112731771
ASN00009530,Deeside,1952,647.8000000000001,383.9,697.94,-50.139999999999986,-7.1839986245235945
ASN00009530,Deeside,1953,626.0,353.29999999999995,697.94,-71.94000000000005,-10.307476287359952
ASN00009530,Deeside,1954,591.6999999999999,372.6,697.94,-106.24000000000012,-15.221938848611645
ASN00009530,Deeside,1955,979.2,359.5,697.94,281.26,40.2985930022638
ASN00009530,Deeside,1956,769.7999999999998,568.0999999999999,697.94,71.85999999999979,10.296013984010054
ASN00009530,Deeside,1957,691.8,424.29999999999995,697.94,-6.1400000000001,-0.8797317821016276
ASN00009530,Deeside,1958,685.5999999999999,484.7,697.94,-12.340000000000146,-1.768060291715641
ASN00009530,Deeside,1959,583.4,295.4,697.94,-114.54000000000008,-16.411152821159423
ASN00009530,Deeside,1960,671.2,449.20000000000005,697.94,-26.74000000000001,-3.831274894690089
ASN00009530,Deeside,1961,783.9000000000001,384.4,697.94,85.96000000000004,12.316244949422591
ASN00009530,Deeside,1962,650.5,325.0,697.94,-47.440000000000055,-6.797145886465892
ASN00009530,Deeside,1963,822.6,513.4999999999999,697.94,124.65999999999997,17.861134194916463
ASN00009530,Deeside,1964,894.4,514.0,697.94,196.45999999999992,28.14855145141415
ASN00009530,Deeside,1965,770.9999999999999,379.79999999999995,697.94,73.05999999999983,10.467948534257935
ASN00009530,Deeside,1966,648.3,396.6,697.94,-49.6400000000001,-7.112359228586999
ASN00009530,Deeside,1967,771.1,506.2,697.94,73.15999999999997,10.482276413445275
ASN00009530,Deeside,1968,667.3000000000001,321.8,697.94,-30.639999999999986,-4.3900621829956705
ASN00009530,Deeside,1969,465.09999999999997,275.2,697.94,-232.8400000000001,-33.36103389976216
ASN00009530,Deeside,1970,678.4,378.4,697.94,-19.540000000000077,-2.799667593202865
ASN00009530,Deeside,1971,630.9,264.29999999999995,697.94,-67.04000000000008,-9.605410207181142
ASN00009530,Deeside,1972,568.6999999999999,274.0,697.94,-129.24000000000012,-18.517351061695866
ASN00009530,Deeside,1973,799.1999999999999,403.4,697.94,101.25999999999988,14.508410465082939
ASN00009530,Deeside,1974,756.7,446.6,697.94,58.75999999999999,8.419061810470811
ASN00009530,Deeside,1975,688.6,424.4000000000001,697.94,-9.340000000000032,-1.338223916095944
ASN00009530,Deeside,1976,621.1,254.10000000000002,697.94,-76.84000000000003,-11.009542367538762
ASN00009530,Deeside,1977,646.0,323.4,697.94,-51.940000000000055,-7.441900449895414
ASN00009530,Deeside,1978,663.8000000000001,409.0,697.94,-34.139999999999986,-4.891537954551965
ASN00009530,Deeside,1979,572.6999999999999,302.70000000000005,697.94,-125.24000000000012,-17.944235894202958
ASN00009530,Deeside,1980,603.0000000000001,290.8,697.94,-94.93999999999994,-13.602888500444156
ASN00009530,Deeside,1981,757.6999999999999,434.69999999999993,697.94,59.75999999999988,8.562340602344022
ASN00009530,Deeside,1982,466.4000000000001,331.40000000000003,697.94,-231.53999999999996,-33.17477147032695
ASN00009530,Deeside,1983,650.0000000000001,345.6,697.94,-47.93999999999994,-6.868785282402491
ASN00009530,Deeside,1984,679.8000000000001,376.4,697.94,-18.139999999999986,-2.5990772845803343
ASN00009530,Deeside,1985,623.6000000000001,255.8,697.94,-74.33999999999992,-10.651345387855677
ASN00009530,Deeside,1986,536.6,268.20000000000005,697.94,-161.34000000000003,-23.116600280826436
ASN00009530,Deeside,1987,483.20000000000005,271.20000000000005,697.94,-214.74,-30.76768776685675
ASN00009530,Deeside,1988,863.6000000000001,513.2,697.94,165.66000000000008,23.73556466171878
ASN00009530,Deeside,1989,637.0,250.59999999999997,697.94,-60.940000000000055,-8.731409576754455
ASN00009530,Deeside,1990,724.6000000000001,357.6,697.94,26.660000000000082,3.8198125913402414
ASN00009530,Deeside,1991,697.4000000000001,418.20000000000005,697.94,-0.5399999999999636,-0.07737054761153732
ASN00009530,Deeside,1992,671.8000000000001,350.0,697.94,-26.139999999999986,-3.7453076195661494
ASN00009530,Deeside,1993,631.3000000000001,301.1,697.94,-66.63999999999999,-9.54809869043184
ASN00009530,Deeside,1994,540.2,369.40000000000003,697.94,-157.74,-22.600796630082815
ASN00009530,Deeside,1995,682.9999999999999,452.79999999999995,697.94,-14.940000000000168,-2.140585150586034
ASN00009530,Deeside,1996,807.9000000000001,412.20000000000005,697.94,109.96000000000004,15.754935954380036
ASN00009530,Deeside,1997,652.2,357.20000000000005,697.94,-45.74000000000001,-6.5535719402814
ASN00009530,Deeside,1998,697.8000000000001,300.80000000000007,697.94,-0.13999999999998636,-0.020059030862249812
ASN00009530,Deeside,1999,,,697.94,,
ASN00009530,Deeside,2000,657.2,376.0,697.94,-40.74000000000001,-5.837177980915266
ASN00009530,Deeside,2001,499.8,246.2,697.94,-198.14000000000004,-28.389259821761186
ASN00009530,Deeside,2002,676.4000000000001,326.40000000000003,697.94,-21.539999999999964,-3.0862251769493025
ASN00009530,Deeside,2003,825.6,352.0,697.94,127.65999999999997,18.290970570536143
ASN00009530,Deeside,2004,,324.4,697.94,,
ASN00009530,Deeside,2005,750.2,334.8,697.94,52.25999999999999,7.487749663294837
ASN00009530,Deeside,2006,462.6,206.59999999999997,697.94,-235.34000000000003,-33.71923087944523
ASN00009530,Deeside,2007,646.2,256.99999999999994,697.94,-51.74000000000001,-7.413244691520762
ASN00009530,Deeside,2008,723.9,406.70000000000005,697.94,25.959999999999923,3.7195174370289594
ASN00009530,Deeside,2009,671.5999999999999,420.3999999999999,697.94,-26.340000000000146,-3.773963377940818
ASN00009530,Deeside,2010,359.8,209.0,697.94,-338.14000000000004,-48.44829068401296
ASN00009530,Deeside,2011,630.4,297.4,697.94,-67.54000000000008,-9.677049603117757
ASN00009530,Deeside,2012,543.4,239.2,697.94,-154.54000000000008,-22.1423044960885
ASN00009530,Deeside,2013,697.0,304.8,697.94,-0.9400000000000546,-0.13468206436084112
ASN00009530,Deeside,2014,637.8,409.0,697.94,-60.1400000000001,-8.61678654325588
ASN00009530,Deeside,2015,479.20000000000005,244.8,697.94,-218.74,-31.340802934349654
ASN00009530,Deeside,2016,743.4,350.79999999999995,697.94,45.45999999999992,6.513453878556885
ASN00009530,Deeside,2017,467.40000000000003,231.59999999999997,697.94,-230.54000000000002,-33.03149267845374
ASN00009530,Deeside,2018,576.8,292.40000000000003,697.94,-121.1400000000001,-17.356792847522723
ASN00009530,Deeside,2019,458.8,216.2,697.94,-239.14000000000004,-34.26369028856349
ASN00009530,Deeside,2020,596.1999999999999,327.6,697.94,-101.74000000000012,-14.577184285182124
ASN00009530,Deeside,2021,768.0,388.4,697.94,70.05999999999995,10.03811215863827
ASN00009530,Deeside,2022,636.8,325.6,697.94,-61.1400000000001,-8.760065335129108
ASN00009530,Deeside,2023,618.0,319.6,697.94,-79.94000000000005,-11.453706622345766
ASN00009530,Deeside,2024,619.0,312.6,697.94,-78.94000000000005,-11.310427830472541
ASN00009616,Westbourne,1950,608.3000000000001,389.29999999999995,566.76,41.54000000000008,7.329381043122322
ASN00009616,Westbourne,1951,522.1999999999999,251.49999999999997,566.76,-44.56000000000006,-7.862234455501457
ASN00009616,Westbourne,1952,443.29999999999995,270.0,566.76,-123.46000000000004,-21.783470957724617
ASN00009616,Westbourne,1953,497.19999999999993,274.79999999999995,566.76,-69.56000000000006,-12.27327263744796
ASN00009616,Westbourne,1954,381.69999999999993,258.9,566.76,-185.06000000000006,-32.65226903804081
ASN00009616,Westbourne,1955,675.7999999999998,234.29999999999998,566.76,109.03999999999985,19.23918413437784
ASN00009616,Westbourne,1956,565.4999999999999,400.9,566.76,-1.2600000000001046,-0.2223163243701222
ASN00009616,Westbourne,1957,598.0,385.6,566.76,31.24000000000001,5.5120333121603515
ASN00009616,Westbourne,1958,546.6,364.5,566.76,-20.159999999999968,-3.5570611899216544
ASN00009616,Westbourne,1959,469.3999999999999,219.39999999999998,566.76,-97.36000000000007,-17.178347095772473
ASN00009616,Westbourne,1960,501.9,335.0,566.76,-64.86000000000001,-11.443997459242011
ASN00009616,Westbourne,1961,702.8000000000001,363.40000000000003,566.76,136.04000000000008,24.003105370880103
ASN00009616,Westbourne,1962,500.69999999999993,246.8,566.76,-66.06000000000006,-11.655727291975449
ASN00009616,Westbourne,1963,738.3999999999999,437.4999999999999,566.76,171.63999999999987,30.284423741971885
ASN00009616,Westbourne,1964,696.0999999999999,416.90000000000003,566.76,129.33999999999992,22.820947138118417
ASN00009616,Westbourne,1965,580.9999999999999,280.2,566.76,14.239999999999895,2.5125273484367097
ASN00009616,Westbourne,1966,578.0,321.1000000000001,566.76,11.240000000000009,1.9832027666031493
ASN00009616,Westbourne,1967,694.1999999999999,511.4999999999999,566.76,127.43999999999994,22.485708236290485
ASN00009616,Westbourne,1968,622.1,324.40000000000003,566.76,55.34000000000003,9.764274119556786
ASN00009616,Westbourne,1969,377.1,240.7,566.76,-189.65999999999997,-33.46390006351894
ASN00009616,Westbourne,1970,564.5,325.0,566.76,-2.259999999999991,-0.3987578516479623
ASN00009616,Westbourne,1971,526.3,260.79999999999995,566.76,-40.460000000000036,-7.138824193662227
ASN00009616,Westbourne,1972,452.40000000000003,219.1,566.76,-114.35999999999996,-20.177853059496076
ASN00009616,Westbourne,1973,702.3000000000001,397.20000000000005,566.76,135.54000000000008,23.914884607241174
ASN00009616,Westbourne,1974,623.2,397.0,566.76,56.440000000000055,9.958359799562436
ASN00009616,Westbourne,1975,619.0,352.79999999999995,566.76,52.24000000000001,9.217305384995415
ASN00009616,Westbourne,1976,,,566.76,,
ASN00009616,Westbourne,1977,559.4,264.0,566.76,-7.360000000000014,-1.298609640765053
ASN00009616,Westbourne,1978,592.1999999999999,383.79999999999995,566.76,25.43999999999994,4.488672453948751
ASN00009616,Westbourne,1979,473.79999999999995,236.20000000000002,566.76,-92.96000000000004,-16.402004375749883
ASN00009616,Westbourne,1980,521.6,232.8,566.76,-45.15999999999997,-7.968099371868156
ASN00009616,Westbourne,1981,580.6,317.8,566.76,13.840000000000032,2.4419507375255898
ASN00009616,Westbourne,1982,361.4,218.39999999999998,566.76,-205.36,-36.234032041781354
ASN00009616,Westbourne,1983,643.4,354.0,566.76,76.63999999999999,13.522478650575197
ASN00009616,Westbourne,1984,522.1999999999999,284.4,566.76,-44.56000000000006,-7.862234455501457
ASN00009616,Westbourne,1985,561.8,229.60000000000002,566.76,-4.960000000000036,-0.8751499752981926
ASN00009616,Westbourne,1986,427.80000000000007,212.5,566.76,-138.95999999999992,-24.518314630531428
ASN00009616,Westbourne,1987,383.5,213.10000000000002,566.76,-183.26,-32.33467428894065
ASN00009616,Westbourne,1988,685.4,413.0,566.76,118.63999999999999,20.93302279624532
ASN00009616,Westbourne,1989,508.99999999999994,219.39999999999998,566.76,-57.76000000000005,-10.191262615569208
ASN00009616,Westbourne,1990,597.8,330.6,566.76,31.039999999999964,5.476745006704772
ASN00009616,Westbourne,1991,613.6,358.0,566.76,46.84000000000003,8.264521137694974
ASN00009616,Westbourne,1992,538.4,278.79999999999995,566.76,-28.360000000000014,-5.003881713600116
ASN00009616,Westbourne,1993,543.0,279.2,566.76,-23.75999999999999,-4.192250688121955
ASN00009616,Westbourne,1994,490.4,323.6,566.76,-76.36000000000001,-13.473075022937403
ASN00009616,Westbourne,1995,574.4000000000001,353.6,566.76,7.6400000000001,1.348013268402869
ASN00009616,Westbourne,1996,691.6,411.6,566.76,124.84000000000003,22.026960265368064
ASN00009616,Westbourne,1997,487.20000000000005,273.8,566.76,-79.55999999999995,-14.037687910226541
ASN00009616,Westbourne,1998,620.4,272.8,566.76,53.639999999999986,9.464323523184413
ASN00009616,Westbourne,1999,693.8,435.19999999999993,566.76,127.03999999999996,22.415131625379342
ASN00009616,Westbourne,2000,507.6000000000001,302.20000000000005,566.76,-59.15999999999991,-10.438280753758189
ASN00009616,Westbourne,2001,438.20000000000005,208.8,566.76,-128.55999999999995,-22.683322746841686
ASN00009616,Westbourne,2002,591.8,290.4,566.76,25.039999999999964,4.418095843037611
ASN00009616,Westbourne,2003,583.1,241.00000000000006,566.76,16.340000000000032,2.88305455572024
ASN00009616,Westbourne,2004,451.00000000000006,298.80000000000007,566.76,-115.75999999999993,-20.424871197685075
ASN00009616,Westbourne,2005,688.8,275.09999999999997,566.76,122.03999999999996,21.532923988990042
ASN00009616,Westbourne,2006,357.4,138.1,566.76,-209.36,-36.93979815089279
ASN00009616,Westbourne,2007,554.2,260.20000000000005,566.76,-12.559999999999945,-2.2161055826099134
ASN00009616,Westbourne,2008,563.1,321.3,566.76,-3.659999999999968,-0.6457759898369624
ASN00009616,Westbourne,2009,540.1,337.90000000000003,566.76,-26.659999999999968,-4.703931117227746
ASN00009616,Westbourne,2010,311.0,156.60000000000002,566.76,-255.76,-45.126685016585505
ASN00009616,Westbourne,2011,624.6,272.5,566.76,57.84000000000003,10.205377937751436
ASN00009616,Westbourne,2012,386.5,184.39999999999998,566.76,-180.26,-31.805349707107066
ASN00009616,Westbourne,2013,,231.39999999999998,566.76,,
ASN00009616,Westbourne,2014,602.9,329.99999999999994,566.76,36.139999999999986,6.376596795821862
ASN00009616,Westbourne,2015,463.8,219.90000000000003,566.76,-102.95999999999998,-18.166419648528475
ASN00009616,Westbourne,2016,578.6,272.1,566.76,11.840000000000032,2.0890676829698696
ASN00009616,Westbourne,2017,,201.90000000000003,566.76,,
ASN00009616,Westbourne,2018,496.5,260.6,566.76,-70.25999999999999,-12.39678170654245
ASN00009616,Westbourne,2019,401.7,179.5,566.76,-165.06,-29.12343849248359
ASN00009616,Westbourne,2020,488.79999999999995,304.8,566.76,-77.96000000000004,-13.755381466581982
ASN00009616,Westbourne,2021,648.1,307.5,566.76,81.34000000000003,14.351753828781149
ASN00009616,Westbourne,2022,498.49999999999994,260.90000000000003,566.76,-68.26000000000005,-12.04389865198674
ASN00009616,Westbourne,2023,437.4,233.59999999999997,566.76,-129.36,-22.82447596866399
ASN00009616,Westbourne,2024,460.59999999999997,251.60000000000002,566.76,-106.16000000000003,-18.731032535817633
ASN00009500,Albany,1950,787.4999999999999,500.70000000000005,761.5625,25.937499999999886,3.4058268362740924
ASN00009500,Albany,1951,785.4,278.69999999999993,761.5625,23.837499999999977,3.130077964710707
ASN00009500,Albany,1952,764.5999999999999,416.0,761.5625,3.037499999999909,0.3988510463684739
ASN00009500,Albany,1953,662.8999999999999,355.79999999999995,761.5625,-98.66250000000014,-12.955272876487504
ASN00009500,Albany,1954,610.5999999999999,267.29999999999995,761.5625,-150.9625000000001,-19.822732868280685
ASN00009500,Albany,1955,1100.8999999999999,434.0,761.5625,339.33749999999986,44.558063192449715
ASN00009500,Albany,1956,773.1999999999999,470.3,761.5625,11.637499999999932,1.5281083299138196
ASN00009500,Albany,1957,739.0,396.8,761.5625,-22.5625,-2.96265900697579
ASN00009500,Albany,1958,807.4999999999998,480.0999999999999,761.5625,45.93749999999977,6.032006565449293
ASN00009500,Albany,1959,660.4000000000001,269.2,761.5625,-101.16249999999991,-13.283545342634374
ASN00009500,Albany,1960,655.2999999999998,395.5,761.5625,-106.26250000000016,-13.953221173574088
ASN00009500,Albany,1961,834.8,342.79999999999995,761.5625,73.23749999999995,9.616741895773487
ASN00009500,Albany,1962,,,761.5625,,
ASN00009500,Albany,1963,926.4,600.3000000000001,761.5625,164.83749999999998,21.644645055395973
ASN00009500,Albany,1964,864.2999999999998,463.20000000000005,761.5625,102.73749999999984,13.490356996306913
ASN00009500,Albany,1965,714.0,317.59999999999997,761.5625,-47.5625,-6.245383668444809
ASN00009500,Albany,1966,894.1999999999999,436.29999999999995,761.5625,132.63749999999993,17.416495691423872
ASN00009500,Albany,1967,813.8,492.69999999999993,761.5625,52.237499999999955,6.85925318013951
ASN00009500,Albany,1968,782.5999999999999,300.7,761.5625,21.03749999999991,2.7624128026261676
ASN00009500,Albany,1969,567.0999999999999,287.5,761.5625,-194.4625000000001,-25.534673779236776
ASN00009500,Albany,1970,784.3,330.29999999999995,761.5625,22.737499999999955,2.985638079606067
ASN00009500,Albany,1971,728.9,367.9,761.5625,-32.66250000000002,-4.2888797702092765
ASN00009500,Albany,1972,577.5999999999999,296.4,761.5625,-183.9625000000001,-24.15592942141979
ASN00009500,Albany,1973,785.3999999999999,371.20000000000005,761.5625,23.837499999999864,3.1300779647106918
ASN00009500,Albany,1974,656.8000000000001,334.6,761.5625,-104.76249999999993,-13.756257693885916
ASN00009500,Albany,1975,826.1999999999999,426.6,761.5625,64.63749999999993,8.48748461222814
ASN00009500,Albany,1976,805.8,335.40000000000003,761.5625,44.237499999999955,5.808781288469424
ASN00009500,Albany,1977,747.1000000000001,316.5,761.5625,-14.462499999999864,-1.8990562166598097
ASN00009500,Albany,1978,838.2000000000002,536.6,761.5625,76.63750000000016,10.0631924497333
ASN00009500,Albany,1979,838.6,429.79999999999995,761.5625,77.03750000000002,10.115716044316786
ASN00009500,Albany,1980,652.6000000000001,310.3,761.5625,-108.96249999999986,-14.307755437012702
ASN00009500,Albany,1981,828.4,546.1999999999999,761.5625,66.83749999999998,8.776364382437421
ASN00009500,Albany,1982,513.9,319.29999999999995,761.5625,-247.66250000000002,-32.520311858842845
ASN00009500,Albany,1983,550.1999999999999,256.09999999999997,761.5625,-211.36250000000007,-27.753795650389833
ASN00009500,Albany,1984,640.4000000000001,324.4000000000001,761.5625,-121.16249999999991,-15.90972507180959
ASN00009500,Albany,1985,650.2,317.8,761.5625,-111.36249999999995,-14.622897004513742
ASN00009500,Albany,1986,685.0,324.6,761.5625,-76.5625,-10.053344275748872
ASN00009500,Albany,1987,529.0,318.0,761.5625,-232.5625,-30.53754616331555
ASN00009500,Albany,1988,852.4,554.0,761.5625,90.83749999999998,11.927780057447679
ASN00009500,Albany,1989,777.8,359.0,761.5625,16.237499999999955,2.132129667624122
ASN00009500,Albany,1990,,,761.5625,,
ASN00009500,Albany,1991,715.2,454.4,761.5625,-46.362499999999955,-6.087812884694291
ASN00009500,Albany,1992,827.0,337.40000000000003,761.5625,65.4375,8.592531801395157
ASN00009500,Albany,1993,,411.40000000000003,761.5625,,
ASN00009500,Albany,1994,,,761.5625,,
ASN00009500,Albany,1995,678.8000000000001,375.0,761.5625,-82.76249999999993,-10.86745999179318
ASN00009500,Albany,1996,746.8,271.40000000000003,761.5625,-14.762500000000045,-1.9384489125974618
